minute,voltage,received_at
1,8.085,2026-02-20 09:58:35
2,8.085,2026-02-20 09:59:35
3,8.085,2026-02-20 10:00:35
4,8.085,2026-02-20 10:01:36
5,8.085,2026-02-20 10:02:36
6,8.085,2026-02-20 10:03:36
7,8.085,2026-02-20 10:04:36
8,8.085,2026-02-20 10:05:36
9,8.085,2026-02-20 10:06:36
10,8.085,2026-02-20 10:07:36
11,8.085,2026-02-20 10:08:37
12,8.085,2026-02-20 10:09:37
13,8.085,2026-02-20 10:10:37
14,8.085,2026-02-20 10:11:37
15,8.085,2026-02-20 10:12:37
16,8.085,2026-02-20 10:13:37
17,8.085,2026-02-20 10:14:37
18,8.085,2026-02-20 10:15:37
19,8.085,2026-02-20 10:16:37
20,8.085,2026-02-20 10:17:37
21,8.085,2026-02-20 10:18:37
22,8.085,2026-02-20 10:19:37
23,8.085,2026-02-20 10:20:37
24,8.085,2026-02-20 10:21:37
25,8.085,2026-02-20 10:22:37
26,8.085,2026-02-20 10:23:37
27,8.085,2026-02-20 10:24:37
28,8.085,2026-02-20 10:25:37
29,8.085,2026-02-20 10:26:37
30,8.085,2026-02-20 10:27:38
31,8.085,2026-02-20 10:28:38
32,8.085,2026-02-20 10:29:38
33,8.085,2026-02-20 10:30:38
